id;text;link;comp;loc;desc;pub
p_60ad4ed90c2f0a3b;Junior Technician;/company/Recruit-Express/jobs/Junior-Technician-60ad4ed90c2f0a3b?fccid=b4f3c768c3f505ad&vjs=3;Recruit Express;Kuala Lumpur;Report to Factory Assistant Engineer / Senior Manager. Other task(s) as assigned by the Assistant Engineer / Senior Manager. At least 1 year experience....;Today
p_a6beb88075101097;Sales Engineer;/rc/clk?jk=a6beb88075101097&fccid=d438b3e3b6cc724c&vjs=3;Pantas Bakti Sdn Bhd;Kuala Lumpur;Bachelor Degree in Mechanical Engineering / Chemical Engineering or equivalent qualification, positive attitude, self-driven and can work under pressure....;Today
p_71a23bc17887c7fd;Controls & Instrumentation Engineer (Malaysian Only);/company/Karitha-Global/jobs/Control-Instrumentation-Engineer-71a23bc17887c7fd?fccid=dac14be4cda0f0b9&vjs=3;Karitha Global;Port Klang;Multinational Company in Chemical & Gas Industry @ Pulau Indah, Klang Selangor*. Mainly responsible for the plant instrumentation and control system...;1 day ago
p_deecb04de399e005;Lead Project Engineer;/company/Karitha-Global/jobs/Lead-Project-Engineer-deecb04de399e005?fccid=dac14be4cda0f0b9&vjs=3;Karitha Global;Shah Alam;AT LEAST*5 years’ experience in project management environment, preferablyin industrial gas, chemical or petrochemical industries....;1 day ago
p_3173b7d35e614fe2;FA & Reliability Engineer;/company/HPS-Partners-Pte-Ltd/jobs/Fa-Reliability-Engineer-3173b7d35e614fe2?fccid=42757273e0d4fef5&vjs=3;HPS Partners Pte Ltd;Malaysia;FA or Reliability Engineer:. Degree in Electrical / Electronics / Chemical Engineering, Physics, Material Science, or related disciple....;1 day ago
p_3f8764206e3b875f;FA & Reliability Engineer;/rc/clk?jk=3f8764206e3b875f&fccid=763ea0d294a572c6&vjs=3;HPS Partners;Malaysia;Degree in Electrical / Electronics / Chemical Engineering, Physics, Material Science, or related disciple. Provide Failure Analysis (FA) support for customer...;1 day ago
p_21fcc56f494a798e;LEAD FLOW ASSURANCE ENGINEER;/rc/clk?jk=21fcc56f494a798e&fccid=cd36fd752474c09a&vjs=3;Genesis Oil and Gas;Kuala Lumpur;Minimum - first Degree in Chemical Engineering (or related subject) and CEng &/or PEng. Purpose of Job:....;2 days ago
p_655305bd402fff77;EHS Engineer / Manager;/rc/clk?jk=655305bd402fff77&fccid=763ea0d294a572c6&vjs=3;HPS Partners;Malaysia;Develop, implement and maintain environmental and safety programs such as management system requirements, hazardous waste / gas / chemical management, emergency...;2 days ago
p_676d9ddcb743d83c;EHS Engineer / Manager;/rc/clk?jk=676d9ddcb743d83c&fccid=3928c6980e2c1466&vjs=3;HPS Partners Pte Ltd;Malaysia;Develop, implement and maintain environmental and safety programs such as management system requirements, hazardous waste / gas / chemical management, emergency...;2 days ago
p_c48c08ed071ed223;LEAD FLOW ASSURANCE ENGINEER;/rc/clk?jk=c48c08ed071ed223&fccid=1f21273599e9ffba&vjs=3;TechnipFMC;Kuala Lumpur;Minimum - first Degree in Chemical Engineering (or related subject) and CEng &/or PEng. Purpose of Job:....;2 days ago
