id;text;link;comp;loc;desc;pub
p_127210c5185d5056;UNITY DEVELOPER;/rc/clk?jk=127210c5185d5056&fccid=4cfa5be13a0656dd&vjs=3;FrameMothin;Petaling Jaya;To plan, design, develop and test application games efficiently in various platforms. Added advantage for experienced integrating emerging technology like...;Just posted
p_4eb78a7ca683126f;BACKEND DEVELOPER;/rc/clk?jk=4eb78a7ca683126f&fccid=4cfa5be13a0656dd&vjs=3;FrameMothin;Petaling Jaya;To develop backend API to the applications and games. To plan, design, develop RESTful API, testing based on requirements. Required skills of PHP, PHP...;Just posted
p_40d80646d740cfc7;Mobile App Developer (iOS);/rc/clk?jk=40d80646d740cfc7&fccid=81a1942b598cdc2f&vjs=3;letsumai;Kuala Lumpur;You are an iOS developer with a proven track record of producing high-quality code for native iOS mobile applications....;Today
p_b9d21081e7bbb719;Mobile Developer;/company/POSSIBLE-VISION-SOFT-SDN-BHD/jobs/Mobile-Developer-b9d21081e7bbb719?fccid=be4775e6565844f8&vjs=3;Possible Vision Soft Sdn Bhd (1299244-T);Malacca City;\*Start-up culture: being part of a close-knit family Be Influential: significant impact on business Stock option for early employees\* Job Requirements:  ...;Today
p_1124c3c3c961b770;Property Agent Real Estate Negotiator;/rc/clk?jk=1124c3c3c961b770&fccid=8dc9dcda86276690&vjs=3;Chester Dynasty International Sdn Bhd;Petaling;COMPANY OVERVIEW OUR MISSION VALUES To deliver exceptional strategic, fully integrated services and solutions for real estate owners, occupiers and investors...;Today
p_100cc8b5921e06ff;AngularJS Developer;/company/InfoDrive-Solutions-Pte.Ltd/jobs/Angularj-Developer-100cc8b5921e06ff?fccid=8d373f5547e8e565&vjs=3;InfoDrive Solutions;Kuala Lumpur;Responsibilities: Develop User interfaces for Modern Rich Internet Applications with the latest Front End Technologies Perform product analysis and...;Today
p_399445c5a93435a1;Sales,Assistant Manager;/rc/clk?jk=399445c5a93435a1&fccid=775cb285b09451d5&vjs=3;Chrisjac;Subang Jaya;Based in Subang Jaya, your role as Assistant Manager, Sales, a key part of this role is building a network of property developer, building contractors ,...;Today
p_d4a7b8f53a45c122;React Native Developer;/rc/clk?jk=d4a7b8f53a45c122&fccid=e5a843061aa2a96a&vjs=3;Red Dragon Technology Sdn. Bhd.;Petaling Jaya;Role and Responsibilities: • Use of Native Modules and Native UI components from both IOS and Android. • Create UI Screen and Modules in both IOS and Android...;Today
p_a432064b9bc058ab;IT / Web Design / App Developer Internship;/rc/clk?jk=a432064b9bc058ab&fccid=807be2f33ecaf5dc&vjs=3;Seeka Technology;Petaling Jaya;Job Description Your responsibility includes supporting and assisting the IT team with Information Technology / Web Design / Mobile App development/ Graphics...;1 day ago
p_870b6b15ae089e6a;Group400;/company/Blithesoft/jobs/-870b6b15ae089e6a?fccid=72458189fade7779&vjs=3;Avows Technologies;Kuala Lumpur;A great call for An Application Developer Expertise in Group400/ GroupAsia/ Group Insurance. 1 year and extendable....;1 day ago
p_94aa463fb8ae02b8;PHP Developer;/company/Eaglenet-Solution/jobs/PHP-Developer-94aa463fb8ae02b8?fccid=b4964e41dc5e1ee3&vjs=3;Eaglenet Solution;Petaling Jaya;*PHP Developer RM3.5k to RM6k Work location - Sri Damansara Atrium Responsibilities: * • Participate in deployment of system including user requirement...;1 day ago
