id;text;link;comp;loc;desc;pub
p_067143ddb9c5c6ce;Site Engineer;/rc/clk?jk=067143ddb9c5c6ce&fccid=f5ab49f22c433448&vjs=3;Innovedge Construction Sdn Bhd;Kuala Lumpur;1) Prepares status reports to project manager and regularly monitors the progress/budgets, contractorâ€™s performance and schedules. 2) Monitoring compliance to...;Today
p_32edfb17d115dee4;Engineer - field service;/rc/clk?jk=32edfb17d115dee4&fccid=38b4474838e7b7a1&vjs=3;ABB;Subang Jaya;Engineer - field service. Bachelor degree in Electrical Engineering or its equivalent. Able to read, interpret and understand electrical schematic diagram...;1 day ago
p_e4238c42bd25689f;ASSISTANT ENGINEER;/company/TELE--FLOW-CORPORATION-SDN-BHD/jobs/Assistant-Engineer-e4238c42bd25689f?fccid=d1a4dbaaa347ffe2&vjs=3;TELE-FLOW CORPORATION SDN BHD;Cyberjaya;Assalamualaikum and salam sejahtera, We are a growing company specializing in telecommunication. Our company located in Cyberjaya, Selangor Darul Ehsan and...;1 day ago
p_6326429bad9620e4;ELECTRONIC FIELD ENGINEER (SEREMBAN);/company/COMTECH-AUTOMATION-&-RESEARCH-SDN-BHD/jobs/Electronic-Field-Engineer-6326429bad9620e4?fccid=a0c5a0f5fc74389e&vjs=3;COMTECH AUTOMATION & RESEARCH SDN BHD;Seremban;At least 2 year(s) of working experience in the field of electrical & electronic. Candidate must possess at least a Degree in Engineering (Electrical/Electronic...;1 day ago
p_abea68c881e39f78;AutoCad Draughtsman (Urgent)(RM1800);/company/Galeri-Pekerja-Sdn-bhd/jobs/AutoCAD-Draughtsman-abea68c881e39f78?fccid=245f5c9d6fea54c3&vjs=3;Galeri Pekerja Sdn Bhd;Kuala Lumpur;Collaborate with designers, constructors and engineers on projects. Assist and coordinate with designers and engineers....;1 day ago
p_3173b7d35e614fe2;FA & Reliability Engineer;/company/HPS-Partners-Pte-Ltd/jobs/Fa-Reliability-Engineer-3173b7d35e614fe2?fccid=42757273e0d4fef5&vjs=3;HPS Partners Pte Ltd;Malaysia;FA or Reliability Engineer:. Degree in Electrical / Electronics / Chemical Engineering, Physics, Material Science, or related disciple....;1 day ago
p_71a23bc17887c7fd;Controls & Instrumentation Engineer (Malaysian Only);/company/Karitha-Global/jobs/Control-Instrumentation-Engineer-71a23bc17887c7fd?fccid=dac14be4cda0f0b9&vjs=3;Karitha Global;Port Klang;Preferable in Electrical Engineering or Automation Engineering. Multinational Company in Chemical & Gas Industry @ Pulau Indah, Klang Selangor*....;1 day ago
p_c99f4b3fa7a66c5a;Systems Engineer - Ayer Keroh Melaka;/company/ORG-Resources/jobs/System-Engineer-c99f4b3fa7a66c5a?fccid=f0f3cb116e80dca5&vjs=3;ORG Resources;Melaka;Strong understanding of electrical and pneumatic components and diagrams. To support Engineering technical escalation and challenges....;1 day ago
p_abc1f4af5b0f2e68;NPI Engineer;/company/HPS-Partners-Pte-Ltd/jobs/Npi-Engineer-abc1f4af5b0f2e68?fccid=42757273e0d4fef5&vjs=3;HPS Partners Pte Ltd;Malaysia;Degree in Electrical / Electronics / Microelectronics / Material Engineering, Physics or related discipline....;1 day ago
p_460951f70f1a40c0;IMR Development Engineer;/rc/clk?jk=460951f70f1a40c0&fccid=f1374be6a45f4b8a&vjs=3;Intel;Kulim;Mechanical, Electronic or Electrical. Ability to perform complex data analysis (regression, matching, FMEA, commonality, MTBF, Quality Metrics) for mechanical,...;1 day ago
p_3f8764206e3b875f;FA & Reliability Engineer;/rc/clk?jk=3f8764206e3b875f&fccid=763ea0d294a572c6&vjs=3;HPS Partners;Malaysia;Degree in Electrical / Electronics / Chemical Engineering, Physics, Material Science, or related disciple. Ability to interpret results generated from SEM, EDS,...;1 day ago
p_278ca82e3681dbcf;Product Development Engineer;/company/HPS-Partners-Pte-Ltd/jobs/Product-Development-Engineer-278ca82e3681dbcf?fccid=42757273e0d4fef5&vjs=3;HPS Partners Pte Ltd;Malaysia;Degree in Electrical / Electronics / Mechanical / Materials Engineering, Physics or related disciple. Design, develop and qualify new packages/products in...;1 day ago
p_9f7009b30da03636;Internship - Applications Engineer;/rc/clk?jk=9f7009b30da03636&fccid=9f94228dbf8b1bd3&vjs=3;National instrument;Bayan Baru;Pursuing a BS degree with preferred majors in Electrical Engineering, Computer Engineering, or Computer Science....;1 day ago
