id;text;link;comp;loc;desc;pub
p_a3a2bac2b940b55d;Senior Systems Engineer;/rc/clk?jk=a3a2bac2b940b55d&fccid=d387c73f8bc478ef&vjs=3;Кота Груп;Kuala Lumpur;Our client is a leading global creative ecosystem powered by design, technological innovation, and entrepreneurship. Job Description: Have a knack for...;Today
p_067143ddb9c5c6ce;Site Engineer;/rc/clk?jk=067143ddb9c5c6ce&fccid=f5ab49f22c433448&vjs=3;Innovedge Construction Sdn Bhd;Kuala Lumpur;1) Prepares status reports to project manager and regularly monitors the progress/budgets, contractor’s performance and schedules. 2) Monitoring compliance to...;Today
p_03fcb1cc6053d326;geotechnical engineer;/rc/clk?jk=03fcb1cc6053d326&fccid=f8b265243da9f9d7&vjs=3;Randstad;Kuala Lumpur;You will also be working with a team of engineers. Attractive remuneration package....;Today
p_c4b77908f7b98454;Technical Support Engineer;/rc/clk?jk=c4b77908f7b98454&fccid=4c1d550e3d94c3b1&vjs=3;BSMART System Solutions Sdn Bhd;Kuala Lumpur;Have knowledge in Web Server, Jboss, PHP, Coldfusion, PostgreSQL Database, Outlook, Cisco, Peplink, Fortinet & Network technology -Assist, communicate and...;Today
p_40d80646d740cfc7;Mobile App Developer (iOS);/rc/clk?jk=40d80646d740cfc7&fccid=81a1942b598cdc2f&vjs=3;letsumai;Kuala Lumpur;You'll collaborate with backend engineers to build new features for our large-and-growing user base. We will provide the relevant employment pass to work in...;Today
p_c7a1125130174fb3;Process Engineer;/rc/clk?jk=c7a1125130174fb3&fccid=b4d34a212474ed21&vjs=3;Sanmina Corporation;Penang Island;Able to define and implement processes and parameter for PCBA and Box -Build assembly. To update ECO changes and conduct relevant training to relevant team...;Today
p_3bef96dfb65e9225;Special Training Programme for Project Engineer (Vessel Fabr...;/rc/clk?jk=3bef96dfb65e9225&fccid=82f9d115c24e5cb7&vjs=3;RWNA Engineering;Kuantan;Candidates will report Senior Project Engineer. Preparation for Project Engineer (Vessel Fabrication/Plant Maintenance)....;Today
p_f7837ed0331dac73;Special Training Programme for Project Engineer (OSS Departm...;/rc/clk?jk=f7837ed0331dac73&fccid=82f9d115c24e5cb7&vjs=3;RWNA Engineering;Kuantan;Preparation for Project Engineer (OSS Department). Familiarisation with Project Engineer scope of works....;Today
p_37f7ee48ee4574c3;QC INSPECTOR;/company/Tinkerbel-Consulting/jobs/Qualitycontrol-Inspector-37f7ee48ee4574c3?fccid=f69b768758ad5054&vjs=3;Tinkerbel Consulting;Shah Alam;To assist Quality Engineer by preparing FAI inspection data and report during new product introduction. To report to Quality Engineer or Team Leader on all...;Today
p_97aa93213ebb4dee;Assistant BIM Manager;/rc/clk?jk=97aa93213ebb4dee&fccid=874f536383de79bd&vjs=3;Mitrajaya;Puchong;Ability to communicate with Engineers and Architectural clients and sub-contractor in a timely and professional manner....;Today
p_ceffd8690e1c6307;Senior QA Engineer I;/rc/clk?jk=ceffd8690e1c6307&fccid=efafbed82ace95b2&vjs=3;EXPERIAN;Cyberjaya;Evaluates application requirements and design documents, working closely with systems engineers and architects to contribute to the test strategy for projects....;Today
p_2ef2c40a5a802ce5;Cloud Systems Engineer;/rc/clk?jk=2ef2c40a5a802ce5&fccid=b46df65bdf7d0cc6&vjs=3;Amaris;Malaysia;Amaris is recruiting a Cloud Systems Engineer under permanent position in Malaysia to sustain its growth over APAC....;Today
p_6631197f0719a028;Engineer - Naval Architectural;/rc/clk?jk=6631197f0719a028&fccid=9e0ac714251ed798&vjs=3;Aker Solutions;Kuala Lumpur;We engineer the products, systems and services required to unlock energy. Aker Solutions helps the world meet its energy needs....;Today
p_1c149a0c7b9e033e;Engineer - Structural;/rc/clk?jk=1c149a0c7b9e033e&fccid=9e0ac714251ed798&vjs=3;Aker Solutions;Kuala Lumpur;We are looking for a local Malaysian Graduate Structural Engineer. We engineer the products, systems and services required to unlock energy....;Today
