id;text;link;comp;loc;desc;pub
p_2ef2c40a5a802ce5;Cloud Systems Engineer;/rc/clk?jk=2ef2c40a5a802ce5&fccid=b46df65bdf7d0cc6&vjs=3;Amaris;Malaysia;Extensive technical experience with Middleware and Java based application development. Serve as the day-to-day operational of OpenShift, AWS and Azure platforms...;Today
p_43f50991cbf90aaa;MYS CTSM PG APAC Electronic Banking System - Advance Support...;/rc/clk?jk=43f50991cbf90aaa&fccid=5bcd1ef0a7f4fb99&vjs=3;Citi;George Town;Primary Location: Malaysia,Pulau Pinang,George Town Education: Bachelor's Degree Job Function: Institutional Client Service Schedule: Full-time Shift: Day Job...;Today
p_100cc8b5921e06ff;AngularJS Developer;/company/InfoDrive-Solutions-Pte.Ltd/jobs/Angularj-Developer-100cc8b5921e06ff?fccid=8d373f5547e8e565&vjs=3;InfoDrive Solutions;Kuala Lumpur;Develop application code and unit test in the AngularJS, Rest Web Services and Java technologies for the Application Development Center....;Today
p_634ebef118dc6708;Fresh Graduate SAP Consultant;/rc/clk?jk=634ebef118dc6708&fccid=234130b9a9ddbb1f&vjs=3;Vesta Partners Sdn Bhd;Kuala Lumpur;Strong interest and knowledge in programming languages such as Java, Javascript, SQL, HTML5, CSS, C/C++, Android/ iOS....;Today
p_a77c80600f8b2a8e;Digital Analyst;/rc/clk?jk=a77c80600f8b2a8e&fccid=169d0cde26aed07b&vjs=3;Consider Digital;Kuala Lumpur;Experience using Java script to tag pages and events. Digital Analyst is responsible for leading analytics activities for all Consider iProspect Accounts....;1 day ago
p_3de43840f2eceaf8;Application Support Engineer;/company/Ambition-Group-Malaysia-Sdn-Bhd/jobs/Application-Support-Engineer-3de43840f2eceaf8?fccid=1380b5cb2e603049&vjs=3;Ambition Group Malaysia Sdn Bhd;Kuala Lumpur;More than 4 years of relevant experience in Java and .NET deployment and troubleshooting. A well-known financial institution seeks for Application Support...;1 day ago
p_0d33e7b8e7c51fe8;Undergrad Internship;/rc/clk?jk=0d33e7b8e7c51fe8&fccid=f1374be6a45f4b8a&vjs=3;Intel;Kulim;Proficiency in Programming language (Perl, C++, or Java). Developing automated tools or applications (using System Verilog, Java, or Perl) for the pre-silicon...;1 day ago
p_d9765fb6153dfce8;Appl Mgmt Svc Del Cons I;/rc/clk?jk=d9765fb6153dfce8&fccid=feaabf8e6a699d3c&vjs=3;DXC;Kuala Lumpur;SAP, Java, .NET) to solve application issues with limited risk/complexity. Java, .NET and Mainframe) in accordance with contractual terms and conditions and...;1 day ago
p_67e64c21ade4c1da;Graphic Designer;/company/Hormes-Limited/jobs/Graphic-Designer-67e64c21ade4c1da?fccid=9cc72ce01e142ae4&vjs=3;Hormes Limited;Kuala Lumpur;Being able to understand HTML, CSS and Java script would be a bonus but not a pre-condition. Graphic design for advertising, brochure and other marketing...;1 day ago
p_c73ad957dea329b8;Web Designer (Chinese Language Literate);/rc/clk?jk=c73ad957dea329b8&fccid=42ec5b80c8babc6c&vjs=3;Apple Vacations & Conventions;Kuala Lumpur;Good knowledge and understanding of HTML, CSS, Java Script, jQuery, Bootstrap, and additional knowledge of PHP and Java is an advantage....;1 day ago
