id;text;link;comp;loc;desc;pub
p_2ef2c40a5a802ce5;Cloud Systems Engineer;/rc/clk?jk=2ef2c40a5a802ce5&fccid=b46df65bdf7d0cc6&vjs=3;Amaris;Malaysia;Serve as the day-to-day operational of OpenShift, AWS and Azure platforms running Java, Node.JS and Python applications....;Today
p_83a7c66065cf6da5;Database Engineer;/company/AsiaQue-Techline-Sdn-Bhd-(Recruit-Agent)/jobs/Database-Engineer-83a7c66065cf6da5?fccid=592f5bbb50f77aad&vjs=3;AsiaQue Techline Sdn Bhd (Recruit Agent);Petaling Jaya;Programming skills in Java and SQL is essential and Python and Javascript are optional. Bachelor or Masters Degree in Computer Science, Computer Engineering...;1 day ago
p_3257693d28e25d1f;Big Data Consultant, EY Data and Analytics (Malaysia);/rc/clk?jk=3257693d28e25d1f&fccid=1544766d4c2915b0&vjs=3;EY;Kuala Lumpur;Our current team is working on some of the latest technologies in the region using advanced analytics solutions such as Spark, MapReduce, Python, Redshift, Hive...;1 day ago
p_8f51bfe638439f58;Data Scientist Consultant, EY Data and Analytics (Malaysia);/rc/clk?jk=8f51bfe638439f58&fccid=1544766d4c2915b0&vjs=3;EY;Kuala Lumpur;Python, R, SAS, SPSS, Java, MATLAB. EY Data and Analytics is the data and advanced analytics capability within EY Asia-Pacific....;1 day ago
p_4aa67d3b03cf7e46;Internship (Business Objects Technology & MIS);/company/ChainSpirit-Sdn-Bhd/jobs/Internship-4aa67d3b03cf7e46?fccid=423ebe3a3e352ae5&vjs=3;ChainSpirit Sdn Bhd;Cheras;SQL scripting languages (High Skill), Python, R or PHP scripting languages (Minor Skill), HTML languages, CSS,....;1 day ago
p_f9460d5fe45d6e51;Product Engineer;/rc/clk?jk=f9460d5fe45d6e51&fccid=763ea0d294a572c6&vjs=3;HPS Partners;Malaysia;Experience in DFM, DFT, DFR, DFFA, DFx, debug tools (Oscilloscope, DMM, Allegro & Network Analyzer), components (DRAM, FPGA, ASIC controller and voltage...;1 day ago
p_f42ecf5719a06e4d;Product Engineer;/rc/clk?jk=f42ecf5719a06e4d&fccid=3928c6980e2c1466&vjs=3;HPS Partners Pte Ltd;Malaysia;Experience in DFM, DFT, DFR, DFFA, DFx, debug tools (Oscilloscope, DMM, Allegro & Network Analyzer), components (DRAM, FPGA, ASIC controller and voltage...;1 day ago
p_c568215829e09f44;Data Scientist - Internship;/rc/clk?jk=c568215829e09f44&fccid=dba56d9b49ce0c06&vjs=3;iPrice group;Kuala Lumpur;Experience with Python and scikit-learn. Build machine and tune learning models using Python and scikit-learn....;2 days ago
p_b7744765cec60e2a;Associate Business Analyst;/rc/clk?jk=b7744765cec60e2a&fccid=4e090bf1ff0c7410&vjs=3;SWIFT;Kuala Lumpur;Familiarity with any big data languages (R/ Python/ SQL) is a plus. Company & department description....;2 days ago
p_9fbd57836874dbae;IT Software Developer;/rc/clk?jk=9fbd57836874dbae&fccid=f6539fb69d23311b&vjs=3;Westports;Port Klang;More than 2 years’ professional web programming experience in PHP, HTML, JavaScript, AJAX, XML, Python). Provide IT solutions to users....;2 days ago
p_4443bce3b1b5424c;Senior Test Engineer;/rc/clk?jk=4443bce3b1b5424c&fccid=4e090bf1ff0c7410&vjs=3;SWIFT;Kuala Lumpur;Knowledge and experience of perl, tcl, python. Company & department description....;2 days ago
p_b89333b59c8de006;Web Application developer;/rc/clk?jk=b89333b59c8de006&fccid=d387c73f8bc478ef&vjs=3;Кота Груп;Kuala Lumpur;Knowledge on Ruby on Rails, web services protocol, Linux and other web languages such as Java, Python, Node.js and Perl is a plus....;2 days ago
p_375e96f33513cdeb;Credit Operations Manager/ Executive, Malaysia;/rc/clk?jk=375e96f33513cdeb&fccid=b79fa3ee18655a5a&vjs=3;Grab Taxi;Petaling Jaya;Strong programming languages like SAS, R, Python, SPSS, Matlab or other tools for statistical analysis. Get to know our Team:....;2 days ago
p_f62a3bf2d2cd95bb;Software Engineer;/rc/clk?jk=f62a3bf2d2cd95bb&fccid=4db2033cccf161b6&vjs=3;Yuvasun Gravity Enterprise;Simpang Ampat;Professional skill in Python, PHP, HTML, CSS, Java,Javascript. About The JobThe primary role of the Software Engineer is to develop software applications that...;2 days ago
p_2a237ac9ae7ca00f;Automation Programmer (Ansible/Puppet/Chef);/rc/clk?jk=2a237ac9ae7ca00f&fccid=77087bd1709a8148&vjs=3;Michael Page;Kuala Lumpur;Sound experience in Python, Javascript, Perl and/or groovy. Build and maintain automation runbook or playbook using automation technologies such as ansible,...;2 days ago
p_0031a3608187c47b;Data Scientist, Kuala Lumpur, Malaysia;/rc/clk?jk=0031a3608187c47b&fccid=f67941bb5695bf8b&vjs=3;GBG;Petaling Jaya;O Experience working within the Hadoop ecosystem in addition to strong technical skills in analytical languages such as Python, R, SQL, SAS....;3 days ago
p_8157324594ca0f30;Data Scientist - Internship;/rc/clk?jk=8157324594ca0f30&fccid=16a2fd7c5035661c&vjs=3;Iprice Group Sdn Bhd;Kuala Lumpur;Experience with Python and scikit-learn. Build machine and tune learning models using Python and scikit-learn....;3 days ago
p_df3593ee6d5f1184;HDMx Module Application Software Engineer;/rc/clk?jk=df3593ee6d5f1184&fccid=f1374be6a45f4b8a&vjs=3;Intel;Kulim;Job Description This is specific to this job nature:- The candidate will perform thorough validation of Skyline (HDMx tool operating software) to ensure its...;3 days ago
p_f6f67df8bb9a725d;Site Reliability Engineer - Malaysia;/rc/clk?jk=f6f67df8bb9a725d&fccid=b79fa3ee18655a5a&vjs=3;Grab Taxi;Petaling Jaya;Go, C, C++, Java, Python, Perl or Ruby. As a Site Reliability Engineer (SRE) at Grab, you will be responsible for the stable operation of the core Grab systems....;3 days ago
p_8c2a977c124121de;Data Scientist;/rc/clk?jk=8c2a977c124121de&fccid=79512d047dc30d87&vjs=3;Vaayuja Info Solutions Private Limited;Malaysia;Good scripting (preferred in Python, Unix) and programming skills. Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive...;3 days ago
p_e0f365031ae70f08;Web Programmer;/company/HR-FIRST-Sdn-Bhd/jobs/Web-Programmer-e0f365031ae70f08?fccid=1742c2b39e9090d0&vjs=3;IT First Sdn Bhd (Recruitment Firm);Kuala Lumpur;Has knowledge in Python programming language, SQLite database, & mini Web framework. Contract for 1 month....;3 days ago
p_35a8f7553ee81729;Implementation and Support lead;/rc/clk?jk=35a8f7553ee81729&fccid=24c2e71ee8debae1&vjs=3;Klinify;Kuala Lumpur;Bonus if you have experience in python/ programming. We need help with setting up Klinify for our customers!...;3 days ago
p_ca670b294fb83511;Full Stack Developer;/rc/clk?jk=ca670b294fb83511&fccid=1394a42c67e259ac&vjs=3;Hiredly.Com;Kuala Lumpur;-Develops and implements all internal communication systems, such as email and instant messaging -Develops and enhances a company's website to increase site...;3 days ago
p_8d10b36a3f7552e2;Data Engineer;/rc/clk?jk=8d10b36a3f7552e2&fccid=a04c79de88d57fb5&vjs=3;Mindvalley;Kuala Lumpur;What is Mindvalley? We build businesses that innovate on transformational education for all ages, through mediums that range from digital publishing,...;4 days ago
p_65c08bef726db0ae;Software Engineer;/company/Sophic-Automation-Sdn-Bhd/jobs/Software-Engineer-65c08bef726db0ae?fccid=4d1a916048546879&vjs=3;Sophic Automation Sdn Bhd;Bayan Lepas;Ms SQL Server, Python (client agents). Experience with oscilloscope, signal generator, DV board setup- Familiarity with System level (chip/package/board) co...;4 days ago
