id;text;link;comp;loc;desc;pub
p_c4b77908f7b98454;Technical Support Engineer;/rc/clk?jk=c4b77908f7b98454&fccid=4c1d550e3d94c3b1&vjs=3;BSMART System Solutions Sdn Bhd;Kuala Lumpur;Prepare training materials for new software & products. Learn, play, test, analyse and assess new software & products....;Today
p_40d80646d740cfc7;Mobile App Developer (iOS);/rc/clk?jk=40d80646d740cfc7&fccid=81a1942b598cdc2f&vjs=3;letsumai;Kuala Lumpur;You'll collaborate with backend engineers to build new features for our large-and-growing user base. We will provide the relevant employment pass to work in...;Today
p_37f7ee48ee4574c3;QC INSPECTOR;/company/Tinkerbel-Consulting/jobs/Qualitycontrol-Inspector-37f7ee48ee4574c3?fccid=f69b768758ad5054&vjs=3;Tinkerbel Consulting;Shah Alam;PC literate and able to use Microsoft Office package software. To assist Quality Engineer by preparing FAI inspection data and report during new product...;Today
p_3bef96dfb65e9225;Special Training Programme for Project Engineer (Vessel Fabr...;/rc/clk?jk=3bef96dfb65e9225&fccid=82f9d115c24e5cb7&vjs=3;RWNA Engineering;Kuantan;Candidates will report Senior Project Engineer. Preparation for Project Engineer (Vessel Fabrication/Plant Maintenance)....;Today
p_f7837ed0331dac73;Special Training Programme for Project Engineer (OSS Departm...;/rc/clk?jk=f7837ed0331dac73&fccid=82f9d115c24e5cb7&vjs=3;RWNA Engineering;Kuantan;Preparation for Project Engineer (OSS Department). Familiarisation with Project Engineer scope of works....;Today
p_ceffd8690e1c6307;Senior QA Engineer I;/rc/clk?jk=ceffd8690e1c6307&fccid=efafbed82ace95b2&vjs=3;EXPERIAN;Cyberjaya;Good knowledge and hands on usage of multiple Experian software applications, including business use. Evaluates application requirements and design documents,...;Today
p_97aa93213ebb4dee;Assistant BIM Manager;/rc/clk?jk=97aa93213ebb4dee&fccid=874f536383de79bd&vjs=3;Mitrajaya;Puchong;Knowledge in AutoCAD, Revit Arch, Structure, MEP and related BIM software. Ability to communicate with Engineers and Architectural clients and sub-contractor in...;Today
p_6631197f0719a028;Engineer - Naval Architectural;/rc/clk?jk=6631197f0719a028&fccid=9e0ac714251ed798&vjs=3;Aker Solutions;Kuala Lumpur;Basic Knowledge in MOSES or equivalent software is preferred. We engineer the products, systems and services required to unlock energy....;Today
p_5a7e89403b47cceb;Engineer I - Naval Architect;/rc/clk?jk=5a7e89403b47cceb&fccid=9e0ac714251ed798&vjs=3;Aker Solutions;Kuala Lumpur;Foreign employees to have Chartered Engineer certification. We engineer the products, systems and services required to unlock energy....;Today
p_1c149a0c7b9e033e;Engineer - Structural;/rc/clk?jk=1c149a0c7b9e033e&fccid=9e0ac714251ed798&vjs=3;Aker Solutions;Kuala Lumpur;Basic Knowledge in SACS or equivalent software is preferred. We are looking for a local Malaysian Graduate Structural Engineer....;Today
p_cb1a48f06753d1ba;Senior Engineer I - Structural;/rc/clk?jk=cb1a48f06753d1ba&fccid=9e0ac714251ed798&vjs=3;Aker Solutions;Kuala Lumpur;Foreign employees to have Chartered Engineer certification. Leadership management, training and development of subordinate engineers....;Today
p_6c9263c3906f862c;Software-Engineer;/company/AsiaQue-Techline-Sdn-Bhd-(Recruit-Agent)/jobs/Software-Engineer-6c9263c3906f862c?fccid=592f5bbb50f77aad&vjs=3;AsiaQue Techline Sdn Bhd (Recruit Agent);Petaling Jaya;*Requirement : * - Bachelor or Masters Degree in Computer Science, Computer Engineering with 5+ years working experience in Large-Scale Enterprise...;1 day ago
p_b1d18e62285bf79c;Engineer;/company/Intran-Technologies-Sdn-Bhd/jobs/Engineer-b1d18e62285bf79c?fccid=b2f7738404415f1d&vjs=3;Intran Technologies Sdn Bhd;Ara Damansara;Proficiency AutoCAD (for design of cleanroom facilities), Project Management software, Word, PowerPoint, and Excel....;1 day ago
p_3de43840f2eceaf8;Application Support Engineer;/company/Ambition-Group-Malaysia-Sdn-Bhd/jobs/Application-Support-Engineer-3de43840f2eceaf8?fccid=1380b5cb2e603049&vjs=3;Ambition Group Malaysia Sdn Bhd;Kuala Lumpur;A well-known financial institution seeks for Application Support Engineer. Hands on experience of IT hardware, software, and SQL databases....;1 day ago
p_83a7c66065cf6da5;Database Engineer;/company/AsiaQue-Techline-Sdn-Bhd-(Recruit-Agent)/jobs/Database-Engineer-83a7c66065cf6da5?fccid=592f5bbb50f77aad&vjs=3;AsiaQue Techline Sdn Bhd (Recruit Agent);Petaling Jaya;*Requirement: * - Bachelor or Masters Degree in Computer Science, Computer Engineering with 5+ years working experience in Large-Scale Enterprise Application...;1 day ago
p_4774fa033098397d;Technical Support Engineer at LINAK Actuators Sdn Bhd, Malay...;/rc/clk?jk=4774fa033098397d&fccid=caf6a885f334d587&vjs=3;LINAK Actuators Sdn Bhd, Malaysia;Malaysia;As a Technical Support Engineer you will be handling all technical issues related to both software and hardware in LINAK products....;1 day ago
p_bbe215576e917b7a;Test Automation Engineer;/rc/clk?jk=bbe215576e917b7a&fccid=dba56d9b49ce0c06&vjs=3;iPrice group;Kuala Lumpur;Expected to be versed in best of bread software industry engineering and lifecycle practices such as TDD, CI, CD, BDD etc....;1 day ago
p_06928265b469c519;Lead Software Engineer;/rc/clk?jk=06928265b469c519&fccid=31670bef3ae6497b&vjs=3;Hays;Malaysia;You will joining a MNC company who are very technology focused. They specialise in procurement solutions. Your new role You will be working with a team of...;1 day ago
p_bdda3ee8825f171e;Test Automation Engineer;/rc/clk?jk=bdda3ee8825f171e&fccid=16a2fd7c5035661c&vjs=3;Iprice Group Sdn Bhd;Kuala Lumpur;Expected to be versed in best of bread software industry engineering and lifecycle practices such as TDD, CI, CD, BDD etc....;1 day ago
p_f9460d5fe45d6e51;Product Engineer;/rc/clk?jk=f9460d5fe45d6e51&fccid=763ea0d294a572c6&vjs=3;HPS Partners;Malaysia;Ensure NPI are successfully launched into production. Involved in development stage in various validation, handle the first article (FAI) build, and...;1 day ago
p_f42ecf5719a06e4d;Product Engineer;/rc/clk?jk=f42ecf5719a06e4d&fccid=3928c6980e2c1466&vjs=3;HPS Partners Pte Ltd;Malaysia;Job Description Ensure NPI are successfully launched into production. Involved in development stage in various validation, handle the first article (FAI)...;1 day ago
p_33a2170aae4676e2;Technical Support Engineer 1 - Client;/rc/clk?jk=33a2170aae4676e2&fccid=0918a251e6902f97&vjs=3;DELL;Bayan Lepas;O Responds to customer technical problems/issues related to hardware, software and networking via e-mail/chat, online, social media and phone....;1 day ago
p_7f3d0d6a9b8dae22;Systems Engineer - Manufacturing Execution System Support;/rc/clk?jk=7f3d0d6a9b8dae22&fccid=d29c5f56235af7ca&vjs=3;Infineon Technologies;Melaka;Undertake change & release management for IT services / software deployment cycle. In your new role you will:....;1 day ago
p_56b216a45670d0af;Senior Software Engineer - Ayer Keroh;/company/ORG-RESOURCES-SDN-BHD/jobs/Senior-Software-Engineer-56b216a45670d0af?fccid=e95136aff3239b44&vjs=3;ORG RESOURCES SDN BHD;Melaka;*JOB REQUIREMENTS:   Diploma, Bachelor's Degree in Computer Science/Information Technology, Engineering (Computer/Telecommunication), Engineering (Electrical...;1 day ago
p_52a19d40cb6c1224;IT Support Helpdesk;/company/Recruit-Express/jobs/IT-Support-Helpdesk-52a19d40cb6c1224?fccid=5c9c624b692d90c7&vjs=3;Recruit Express;Kuala Lumpur;Engineer & Service partners assignment tracking. Ensure engineer carry out the task completely. Must be able troubleshoot, diagnose and resolve problems related...;1 day ago
p_8a1cd14dec63784a;Internship - Applications Engineer;/rc/clk?jk=8a1cd14dec63784a&fccid=9f94228dbf8b1bd3&vjs=3;National Instruments;Bayan Baru;Your internship begins with training on NI flagship software and hardware. The National Instruments Applications Engineering organization is hiring paid Interns...;1 day ago
p_9f7009b30da03636;Internship - Applications Engineer;/rc/clk?jk=9f7009b30da03636&fccid=9f94228dbf8b1bd3&vjs=3;National instrument;Bayan Baru;Your internship begins with training on NI flagship software and hardware. The National Instruments Applications Engineering organization is hiring paid Interns...;1 day ago
p_b2af5f3c7d93ff06;Data Integration Consultant, EY Data and Analytics (Malaysia...;/rc/clk?jk=b2af5f3c7d93ff06&fccid=1544766d4c2915b0&vjs=3;EY;Kuala Lumpur;Bachelor degree and above in Statistics, Software Engineering, Information Systems Management or related fields....;1 day ago
p_0dbd1ade9d238aaf;IT Service Desk Analyst;/rc/clk?jk=0dbd1ade9d238aaf&fccid=cac655e1e12957c5&vjs=3;AP ExecSearch SDN BHD;Kuala Lumpur;Dealing with problems for hardware, software and operating system. Utilize helpdesk software to log calls with descriptions of issues, progress and solutions....;1 day ago
p_d8f4037abcc16710;Software Engineer;/company/B2BE-GSS-Sdn-Bhd/jobs/Software-Engineer-d8f4037abcc16710?fccid=14c652653e8359d1&vjs=3;B2BE GSS Sdn Bhd;Petaling Jaya;"1-2 years in software development; The role is ideal for a candidate wanting to move-up and take ownership in projects and own the software development cycle...";2 days ago
p_948c2c42f022ba97;Project Engineer;/company/Jaya-Sarana-Engineering-Sdn-Bhd/jobs/Project-Engineer-948c2c42f022ba97?fccid=b4a123e0dc2fb1f1&vjs=3;Jaya Sarana Engineering (KL) Sdn Bhd;Kuala Lumpur;You must be computer literate and familiarity with AutoCad software will be an added advantage. To be able to have a good working relationship with building...;2 days ago
p_8904f82b68009e3e;Project Engineer-Electrical;/company/DPI-Industries-Sdn-Bhd/jobs/Project-Engineer-Electrical-8904f82b68009e3e?fccid=4652edef745ab715&vjs=3;Ozlux Sdn Bhd;Kuala Lumpur;Using computer-aided design/modelling software. Assessing project requirements....;2 days ago
p_7528d825b1b6fe0e;Project Engineer (Biometrics);/company/CTI-Resources-Sdn-Bhd/jobs/Project-Engineer-7528d825b1b6fe0e?fccid=482e875dafa1bfc5&vjs=3;CTI Resources Sdn Bhd;Shah Alam;To provide prompt technical support, training on systems and software to end users. To handle projects schedule for deployment at customer site....;2 days ago
p_db5b0f90b4d79131;PIPELINE ENGINEER;/rc/clk?jk=db5b0f90b4d79131&fccid=cd36fd752474c09a&vjs=3;Genesis Oil and Gas;Kuala Lumpur;Analysis will be performed using advanced finite element software programs. Hands-on experience in pipeline design software – DNV-OS-F-101 spreadsheet, AGA,...;2 days ago
